UG_COD,UG_DESC,UF
153115,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,RJ
153117,SUPERINT.GERAL DE ENS.P/GRAD.E PESQ. DA UFRJ,RJ
153119,PREFEITURA DA UNIVERSIDADE DA UFRJ,RJ
153120,CENTRO CIENC MATEMAT E DA NATUREZA DA UFRJ,RJ
153121,INSTITUTO DE MATEMATICA DA UFRJ,RJ
153122,INSTITUTO DE QUIMICA DA UFRJ,RJ
153123,INSTITUTO DE FISICA DA UFRJ,RJ
153124,INSTITUTO DE GEOCIENCIAS DA UFRJ,RJ
153125,NUCLEO DE COMPUTACAO ELETRONICA DA UFRJ,RJ
153126,OBSERVATORIO DO VALONGO DA UFRJ,RJ
153127,DECANATO DO CENTRO DE LETRAS E ARTES DA UFRJ,RJ
153128,DECANATO DO CENT DE FILOSOF. E C HUM. DA UFRJ,RJ
153129,INSTITUTO DE FILOSOF/CIENCIAS SOCIAIS DA UFRJ,RJ
153130,INSTITUTO DE PSICOLOGIA DA UFRJ,RJ
153131,FACULDADE DE EDUCACAO DA UFRJ,RJ
153132,DECANATO DO CENTRO DE C JUR E ECONOM. DA UFRJ,RJ
153137,DECANATO DO CENTRO DE CIENC.DA SAUDE DA UFRJ,RJ
153138,FACULDADE DE MEDICINA DA UFRJ,RJ
153139,FACULDADE DE ODONTOLOGIA DA UFRJ,RJ
153140,FACULDADE DE FARMACIA DA UFRJ,RJ
153141,ESCOLA DE ENFERMAGEM ANA NERI DA UFRJ,RJ
153142,INSTITUTO DE CIENCIAS BIOMEDICAS DA UFRJ,RJ
153143,INSTITUTO DE MICROBIOLOGIA DA UFRJ,RJ
153145,INSTITUTO DE BIOFISICA DA UFRJ,RJ
153146,NUCLEO DE PESQUISA DE PROD. NATURAIS DA UFRJ,RJ
153147,INSTITUTO DE GINECOLOGIA DA UFRJ,RJ
153148,INSTITUTO DE NEUROL. DEOLINDO COUTO DA UFRJ,RJ
153149,INSTITUTO DE PSIQUIATRIA DA UFRJ,RJ
153150,INSTITUTO PUERIC. PED MAT. GESTEIRA DA UFRJ,RJ
153151,INSTITUTO DE DOENCAS DO TORAX DA UFRJ,RJ
153152,HOSPITAL UNIVERSITARIO DA UFRJ,RJ
153153,ESCOLA DE EDUCACAO FISICA E DESPORTES DA UFRJ,RJ
153154,INSTITUTO DE BIOLOGIA DA UFRJ,RJ
153155,MATERNIDADE ESCOLA DA UFRJ,RJ
153156,NUCLEO DE TECNOL. EDUCACIONAL P/SAUDE DA UFRJ,RJ
153157,DECANATO DO CENTRO DE TECNOLOGIA DA UFRJ,RJ
153158,ESCOLA POLITECNICA DA UFRJ,RJ
