UG_COD,UG_DESC,UF,REGIÃO
154359,FUNDACAO UNIVERSIDADE FEDERAL DO PAMPA,,
154421,FUND. UNIVERSIDADE FEDERAL VALE SAO FRANCISCO,,
154459,CENTRO CULTURAL DA UFMG,,
154502,FUNDACAO UNIVERSIDADE FED. DA GRANDE DOURADOS,,
154503,FUNDACAO UNIVERSIDADE FEDERAL DO ABC,,
154581,INST. FED. BAIANO -CAMPUS TEIXEIRA DE FREITAS,,
154617,INST. FED. BAIANO - CAMPUS URUÇUCA,,
154618,INST. FED. BAIANO - CAMPUS GOV. MANGABEIRA,,
154628,INST.FEDERAL FARROUPILHA/CAMPUS JAGUARI,,
154712,SUPERINTENDENCIA DE PROJETOS E OBRA - GAB,,
154728,SECRETARIA GESTAO INFORMACAO E COMUNICACAO,,
155007,EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES,,
155008,EBSERH - HOSPITAL UNIVERSITÁRIO DO PIAUÍ,,
158124,IF GOIANO,,
158125,INST. FED. CATARINENSE/REITORIA,,
158162,INST.FED.DO PARÁ/CAMPUS BREVES,,
158172,HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,,
158195,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,,
158196,HOSPITAL UNIVERSITARIO ALCIDES CARNEIRO/UFCG,,
158197,CENTRO DE FORMACAO DE PROFESSORES DA UFCG,,
158198,CENTRO DE CIENCIAS JURIDICAS E SOCIAIS/UFCG,,
158199,CENTRO DE SAUDE E TECNOLOGIA RURAL DA UFCG,,
158219,COLÉGIO DE APLICAÇÃO DA UFRJ,RJ,
158220,HOSPITAL ESCOLA SAO FRANCISCO DE ASSIS,,
158221,ESCOLA DE SERVIÇO SOCIAL DA UFRJ,RJ,
158222,ESCOLA DE COMUNICAÇÃO DA UFRJ,RJ,
158223,FACULDADE DE DIREITO DA UFRJ,RJ,
158229,INSTITUTO DE BIOQUÍMICA MÉDICA DA UFRJ,RJ,
158266,INST.FED.FARROUPILHA/CAMPUS SANTO AUGUSTO,,
158267,INST.FED.FARROUPILHA/CAMPUS DE ALEGRETE,,
158268,INST.FED.FARROUPILHA/CAMPUS SÃO VICENTE SUL,,
158269,INST.FED.FARROUPILHA/CAMPUS JULIO CASTILHOS,,
158270,IFSP - CAMPUS SÃO PAULO,,
158277,INST.FED.BAIANO/CAMPUS SANTA INES,,
158278,INST.FED.S.PERNAMB./CAMPUS PETROLINA Z.RURAL,,
158298,IF GOIANO - CAMPUS URUTAI,,
158299,IF GOIANO - CAMPUS RIO VERDE,,
158300,IF GOIANO - CAMPUS MORRINHOS,,
158301,CENTRO DE CIENCIAS E TECNOLOGIA AGROALIMENTAR,,
158302,IF GOIANO - CAMPUS CERES,,
158303,IFSULDEMINAS - CAMPUS MUZAMBINHO,,
158304,IFSULDEMINAS - CAMPUS MACHADO,,
158305,IFSULDEMINAS - CAMPUS INCONFIDENTES,,
158306,INST.FED.DO PARÁ/CAMPUS BELEM,,
158307,INST.FED.DO PARÁ/CAMPUS RURAL MARABÁ,,
158308,INST.FED.DO PARÁ/CAMPUS CASTANHAL,,
158310,INST.FED.TRIANGULO MINEIRO/CAMPUS UBERABA,,
158311,INST.FED.TRIANGULO MINEIRO/CAMPUS ITUIUTABA,,
158312,INST.FED.TRIANGULO MINEIRO/CAMPUS UBERLANDIA,,
158329,IFSP - CAMPUS SÃO ROQUE,,
158330,IFSP - CAMPUS SÃO CARLOS,,
158331,IFSP - CAMPUS SERTÃOZINHO,,
158332,IFSP - CAMPUS CUBATÃO,,
158338,INST.FED.SUL RIO GRANDENSE/CAMPUS PASSO FUNDO,,
158339,INST.FED.SUL RIO GRANDENSE/CAMPUS SAPUCAIA,,
158340,INST.FED.SUL RIO GRANDENSE/CAMPUS CHARQUEADAS,,
158344,IFSP - CAMPUS BRAGANÇA PAULISTA,,
158347,IFSP - CAMPUS CAMPOS DO JORDÃO,,
158348,IFSP - CAMPUS GUARULHOS,,
158349,IFSP - CAMPUS CARAGUATATUBA,,
